Total # of synonymous genes,1035
Total # of nonsynonymous genes,2965
Sum of all synonymous mutations across all genes and selected sublines,1526
Sum of all synonymous mutations across all genes and background sublines,0.0
Sum of all nonsynonymous mutations across all genes and selected sublines,4966
Sum of all nonsynonymous mutations across all genes and background sublines,0.0
Nonsyn / syn for select sublines,3.254
Normalized sum of all synonymous mutations across all genes and selected sublines,4578
Normalized sum of all nonsynonymous mutations across all genes and selected sublines,7449.0
Normalized nonsyn / Normalized syn for select sublines,1.627
