label,node,node2,regime
1,C23,,global
2,C17,,global
3,C12,,global
4,C10,,global
5,C3,,global
6,C14,,global
7,C5,,global
8,C9,,global
9,C24,,global
10,C6,,global
11,C21,,global
12,C19,,global
13,C1,,global
14,C22,,global
15,C4,,global
16,C13,,global
17,C18,,global
18,C15,,global
19,C11,,global
20,C16,,global
21,C8,,global
22,C20,,global
23,C7,,global
26,C23,C17,global
25,C23,C10,global
24,C23,C5,global
27,C17,C12,global
28,C10,C3,global
29,C3,C14,global
30,C5,C9,global
32,C9,C24,global
31,C9,C1,global
33,C24,C6,global
34,C6,C21,global
35,C21,C19,global
37,C1,C22,global
36,C1,C13,global
38,C22,C4,global
39,C13,C18,global
41,C18,C15,global
40,C18,C11,global
42,C11,C16,global
43,C16,C8,global
44,C8,C20,global
45,C20,C7,global
