node,node2,regime
C23,,other
C17,,other
C12,,other
C10,,other
C3,,other
C14,,other
C5,,other
C9,,other
C24,,other
C6,,other
C21,,other
C19,,other
C1,,aggressive_responder
C22,,aggressive_responder
C4,,aggressive_responder
C13,,aggressive_nonresponder
C18,,aggressive_nonresponder
C15,,aggressive_nonresponder
C11,,aggressive_nonresponder
C16,,aggressive_nonresponder
C8,,aggressive_nonresponder
C20,,aggressive_nonresponder
C7,,aggressive_nonresponder
C23,C17,other
C23,C10,other
C23,C5,other
C17,C12,other
C10,C3,other
C3,C14,other
C5,C9,other
C9,C24,other
C9,C1,other
C24,C6,other
C6,C21,other
C21,C19,other
C1,C22,aggressive_responder
C1,C13,other
C22,C4,aggressive_responder
C13,C18,aggressive_nonresponder
C18,C15,aggressive_nonresponder
C18,C11,aggressive_nonresponder
C11,C16,aggressive_nonresponder
C16,C8,aggressive_nonresponder
C8,C20,aggressive_nonresponder
C20,C7,aggressive_nonresponder
