node,node2,regime
C23,,nonaggressive
C17,,nonaggressive
C5,,nonaggressive
C10,,nonaggressive
C12,,nonaggressive
C3,,nonaggressive
C14,,nonaggressive
C1,,nonaggressive
C22,,nonaggressive
C4,,nonaggressive
C21,,nonaggressive
C9,,nonaggressive
C19,,nonaggressive
C24,,nonaggressive
C6,,nonaggressive
C13,,partaggressive
C18,,aggressive
C15,,aggressive
C11,,aggressive
C16,,aggressive
C8,,partaggressive
C20,,partaggressive
C7,,partaggressive
C23,C17,nonaggressive
C3,C14,nonaggressive
C1,C22,nonaggressive
C21,C9,nonaggressive
C13,C18,partaggressive
C18,C15,aggressive
C11,C16,partaggressive
C16,C8,partaggressive
C8,C20,partaggressive
C20,C7,partaggressive
