label,node,node2,regime
1,C23,,global
2,C17,,global
4,C5,,global
5,C10,,global
3,C12,,global
6,C3,,global
7,C14,,global
8,C1,,global
9,C22,,global
10,C4,,global
11,C21,,global
12,C9,,global
13,C19,,global
14,C24,,global
15,C6,,global
16,C13,,global
17,C18,,global
18,C15,,global
19,C11,,global
20,C16,,global
21,C8,,global
22,C20,,global
23,C7,,global
24,C23,C17,global
25,C3,C14,global
26,C1,C22,global
27,C21,C9,global
28,C13,C18,global
29,C18,C15,global
30,C11,C16,global
31,C16,C8,global
32,C8,C20,global
33,C20,C7,global
